Id,overall qual,overall cond,gr liv area,garage area,kitchen abvgr,overall qual^2,overall qual overall cond,overall qual gr liv area,overall qual garage area,overall qual kitchen abvgr,overall cond^2,overall cond gr liv area,overall cond garage area,overall cond kitchen abvgr,gr liv area^2,gr liv area garage area,gr liv area kitchen abvgr,garage area^2,garage area kitchen abvgr,kitchen abvgr^2,saleprice
2339,5.0,5.0,1056.0,572.0,1.0,25.0,25.0,5280.0,2860.0,5.0,25.0,5280.0,2860.0,5.0,1115136.0,604032.0,1056.0,327184.0,572.0,1.0,145000
624,6.0,6.0,1453.0,530.0,1.0,36.0,36.0,8718.0,3180.0,6.0,36.0,8718.0,3180.0,6.0,2111209.0,770090.0,1453.0,280900.0,530.0,1.0,187500
86,5.0,8.0,894.0,336.0,1.0,25.0,40.0,4470.0,1680.0,5.0,64.0,7152.0,2688.0,8.0,799236.0,300384.0,894.0,112896.0,336.0,1.0,138500
1534,5.0,6.0,1938.0,240.0,1.0,25.0,30.0,9690.0,1200.0,5.0,36.0,11628.0,1440.0,6.0,3755844.0,465120.0,1938.0,57600.0,240.0,1.0,198000
2243,5.0,6.0,1991.0,0.0,2.0,25.0,30.0,9955.0,0.0,10.0,36.0,11946.0,0.0,12.0,3964081.0,0.0,3982.0,0.0,0.0,4.0,119600
1957,5.0,7.0,924.0,576.0,1.0,25.0,35.0,4620.0,2880.0,5.0,49.0,6468.0,4032.0,7.0,853776.0,532224.0,924.0,331776.0,576.0,1.0,122900
380,8.0,5.0,2524.0,542.0,1.0,64.0,40.0,20192.0,4336.0,8.0,25.0,12620.0,2710.0,5.0,6370576.0,1368008.0,2524.0,293764.0,542.0,1.0,278000
2860,8.0,7.0,1517.0,400.0,1.0,64.0,56.0,12136.0,3200.0,8.0,49.0,10619.0,2800.0,7.0,2301289.0,606800.0,1517.0,160000.0,400.0,1.0,230000
2517,8.0,5.0,1494.0,481.0,1.0,64.0,40.0,11952.0,3848.0,8.0,25.0,7470.0,2405.0,5.0,2232036.0,718614.0,1494.0,231361.0,481.0,1.0,270000
1933,6.0,6.0,948.0,410.0,1.0,36.0,36.0,5688.0,2460.0,6.0,36.0,5688.0,2460.0,6.0,898704.0,388680.0,948.0,168100.0,410.0,1.0,125000
820,8.0,5.0,1718.0,826.0,1.0,64.0,40.0,13744.0,6608.0,8.0,25.0,8590.0,4130.0,5.0,2951524.0,1419068.0,1718.0,682276.0,826.0,1.0,297000
675,6.0,6.0,1142.0,384.0,1.0,36.0,36.0,6852.0,2304.0,6.0,36.0,6852.0,2304.0,6.0,1304164.0,438528.0,1142.0,147456.0,384.0,1.0,113500
2910,5.0,6.0,1475.0,336.0,1.0,25.0,30.0,7375.0,1680.0,5.0,36.0,8850.0,2016.0,6.0,2175625.0,495600.0,1475.0,112896.0,336.0,1.0,127000
21,6.0,6.0,1844.0,546.0,1.0,36.0,36.0,11064.0,3276.0,6.0,36.0,11064.0,3276.0,6.0,3400336.0,1006824.0,1844.0,298116.0,546.0,1.0,190000
1873,7.0,6.0,1242.0,528.0,1.0,49.0,42.0,8694.0,3696.0,7.0,36.0,7452.0,3168.0,6.0,1542564.0,655776.0,1242.0,278784.0,528.0,1.0,175500
2125,5.0,7.0,990.0,384.0,1.0,25.0,35.0,4950.0,1920.0,5.0,49.0,6930.0,2688.0,7.0,980100.0,380160.0,990.0,147456.0,384.0,1.0,146000
1489,5.0,6.0,1256.0,276.0,1.0,25.0,30.0,6280.0,1380.0,5.0,36.0,7536.0,1656.0,6.0,1577536.0,346656.0,1256.0,76176.0,276.0,1.0,147500
2383,10.0,5.0,2076.0,850.0,1.0,100.0,50.0,20760.0,8500.0,10.0,25.0,10380.0,4250.0,5.0,4309776.0,1764600.0,2076.0,722500.0,850.0,1.0,465000
983,5.0,6.0,1110.0,602.0,1.0,25.0,30.0,5550.0,3010.0,5.0,36.0,6660.0,3612.0,6.0,1232100.0,668220.0,1110.0,362404.0,602.0,1.0,165500
1325,5.0,5.0,1795.0,352.0,1.0,25.0,25.0,8975.0,1760.0,5.0,25.0,8975.0,1760.0,5.0,3222025.0,631840.0,1795.0,123904.0,352.0,1.0,131500
1378,5.0,5.0,1040.0,384.0,1.0,25.0,25.0,5200.0,1920.0,5.0,25.0,5200.0,1920.0,5.0,1081600.0,399360.0,1040.0,147456.0,384.0,1.0,129500
1537,8.0,6.0,1873.0,786.0,1.0,64.0,48.0,14984.0,6288.0,8.0,36.0,11238.0,4716.0,6.0,3508129.0,1472178.0,1873.0,617796.0,786.0,1.0,257076
905,5.0,5.0,1604.0,660.0,1.0,25.0,25.0,8020.0,3300.0,5.0,25.0,8020.0,3300.0,5.0,2572816.0,1058640.0,1604.0,435600.0,660.0,1.0,117000
1532,7.0,6.0,1502.0,270.0,1.0,49.0,42.0,10514.0,1890.0,7.0,36.0,9012.0,1620.0,6.0,2256004.0,405540.0,1502.0,72900.0,270.0,1.0,149000
132,5.0,5.0,1063.0,280.0,1.0,25.0,25.0,5315.0,1400.0,5.0,25.0,5315.0,1400.0,5.0,1129969.0,297640.0,1063.0,78400.0,280.0,1.0,128000
1078,7.0,5.0,1626.0,474.0,1.0,49.0,35.0,11382.0,3318.0,7.0,25.0,8130.0,2370.0,5.0,2643876.0,770724.0,1626.0,224676.0,474.0,1.0,155000
2511,6.0,5.0,1524.0,440.0,1.0,36.0,30.0,9144.0,2640.0,6.0,25.0,7620.0,2200.0,5.0,2322576.0,670560.0,1524.0,193600.0,440.0,1.0,166000
912,4.0,3.0,1981.0,576.0,1.0,16.0,12.0,7924.0,2304.0,4.0,9.0,5943.0,1728.0,3.0,3924361.0,1141056.0,1981.0,331776.0,576.0,1.0,135000
2351,7.0,5.0,2784.0,564.0,1.0,49.0,35.0,19488.0,3948.0,7.0,25.0,13920.0,2820.0,5.0,7750656.0,1570176.0,2784.0,318096.0,564.0,1.0,250000
330,4.0,7.0,1092.0,0.0,1.0,16.0,28.0,4368.0,0.0,4.0,49.0,7644.0,0.0,7.0,1192464.0,0.0,1092.0,0.0,0.0,1.0,76000
2586,6.0,6.0,1575.0,400.0,1.0,36.0,36.0,9450.0,2400.0,6.0,36.0,9450.0,2400.0,6.0,2480625.0,630000.0,1575.0,160000.0,400.0,1.0,155000
224,6.0,7.0,1352.0,299.0,1.0,36.0,42.0,8112.0,1794.0,6.0,49.0,9464.0,2093.0,7.0,1827904.0,404248.0,1352.0,89401.0,299.0,1.0,158000
98,7.0,5.0,1200.0,480.0,1.0,49.0,35.0,8400.0,3360.0,7.0,25.0,6000.0,2400.0,5.0,1440000.0,576000.0,1200.0,230400.0,480.0,1.0,149500
2565,5.0,6.0,936.0,240.0,1.0,25.0,30.0,4680.0,1200.0,5.0,36.0,5616.0,1440.0,6.0,876096.0,224640.0,936.0,57600.0,240.0,1.0,121000
1934,6.0,7.0,1040.0,293.0,1.0,36.0,42.0,6240.0,1758.0,6.0,49.0,7280.0,2051.0,7.0,1081600.0,304720.0,1040.0,85849.0,293.0,1.0,136000
997,6.0,5.0,1636.0,386.0,1.0,36.0,30.0,9816.0,2316.0,6.0,25.0,8180.0,1930.0,5.0,2676496.0,631496.0,1636.0,148996.0,386.0,1.0,173000
64,8.0,7.0,2270.0,671.0,1.0,64.0,56.0,18160.0,5368.0,8.0,49.0,15890.0,4697.0,7.0,5152900.0,1523170.0,2270.0,450241.0,671.0,1.0,290000
1799,8.0,5.0,2610.0,550.0,1.0,64.0,40.0,20880.0,4400.0,8.0,25.0,13050.0,2750.0,5.0,6812100.0,1435500.0,2610.0,302500.0,550.0,1.0,303477
230,7.0,7.0,1483.0,690.0,1.0,49.0,49.0,10381.0,4830.0,7.0,49.0,10381.0,4830.0,7.0,2199289.0,1023270.0,1483.0,476100.0,690.0,1.0,270000
1295,5.0,5.0,1740.0,225.0,1.0,25.0,25.0,8700.0,1125.0,5.0,25.0,8700.0,1125.0,5.0,3027600.0,391500.0,1740.0,50625.0,225.0,1.0,122250
638,5.0,5.0,1382.0,350.0,1.0,25.0,25.0,6910.0,1750.0,5.0,25.0,6910.0,1750.0,5.0,1909924.0,483700.0,1382.0,122500.0,350.0,1.0,153000
2278,5.0,5.0,1120.0,0.0,1.0,25.0,25.0,5600.0,0.0,5.0,25.0,5600.0,0.0,5.0,1254400.0,0.0,1120.0,0.0,0.0,1.0,147000
2202,7.0,8.0,1098.0,216.0,1.0,49.0,56.0,7686.0,1512.0,7.0,64.0,8784.0,1728.0,8.0,1205604.0,237168.0,1098.0,46656.0,216.0,1.0,148500
2833,7.0,5.0,1708.0,380.0,1.0,49.0,35.0,11956.0,2660.0,7.0,25.0,8540.0,1900.0,5.0,2917264.0,649040.0,1708.0,144400.0,380.0,1.0,130000
1707,9.0,5.0,1802.0,843.0,1.0,81.0,45.0,16218.0,7587.0,9.0,25.0,9010.0,4215.0,5.0,3247204.0,1519086.0,1802.0,710649.0,843.0,1.0,372000
2428,7.0,5.0,1506.0,440.0,1.0,49.0,35.0,10542.0,3080.0,7.0,25.0,7530.0,2200.0,5.0,2268036.0,662640.0,1506.0,193600.0,440.0,1.0,213490
242,7.0,5.0,1508.0,572.0,1.0,49.0,35.0,10556.0,4004.0,7.0,25.0,7540.0,2860.0,5.0,2274064.0,862576.0,1508.0,327184.0,572.0,1.0,308030
1564,7.0,5.0,2032.0,786.0,1.0,49.0,35.0,14224.0,5502.0,7.0,25.0,10160.0,3930.0,5.0,4129024.0,1597152.0,2032.0,617796.0,786.0,1.0,300000
2613,6.0,6.0,1194.0,539.0,1.0,36.0,36.0,7164.0,3234.0,6.0,36.0,7164.0,3234.0,6.0,1425636.0,643566.0,1194.0,290521.0,539.0,1.0,159500
2832,7.0,5.0,1709.0,380.0,1.0,49.0,35.0,11963.0,2660.0,7.0,25.0,8545.0,1900.0,5.0,2920681.0,649420.0,1709.0,144400.0,380.0,1.0,137500
2459,7.0,5.0,1616.0,834.0,1.0,49.0,35.0,11312.0,5838.0,7.0,25.0,8080.0,4170.0,5.0,2611456.0,1347744.0,1616.0,695556.0,834.0,1.0,232000
1360,6.0,6.0,768.0,440.0,1.0,36.0,36.0,4608.0,2640.0,6.0,36.0,4608.0,2640.0,6.0,589824.0,337920.0,768.0,193600.0,440.0,1.0,93850
2723,5.0,5.0,872.0,322.0,1.0,25.0,25.0,4360.0,1610.0,5.0,25.0,4360.0,1610.0,5.0,760384.0,280784.0,872.0,103684.0,322.0,1.0,105000
1350,4.0,6.0,520.0,240.0,1.0,16.0,24.0,2080.0,960.0,4.0,36.0,3120.0,1440.0,6.0,270400.0,124800.0,520.0,57600.0,240.0,1.0,68500
136,5.0,5.0,2274.0,480.0,2.0,25.0,25.0,11370.0,2400.0,10.0,25.0,11370.0,2400.0,10.0,5171076.0,1091520.0,4548.0,230400.0,960.0,4.0,154300
2235,5.0,7.0,1601.0,0.0,1.0,25.0,35.0,8005.0,0.0,5.0,49.0,11207.0,0.0,7.0,2563201.0,0.0,1601.0,0.0,0.0,1.0,129850
1993,5.0,7.0,1232.0,480.0,1.0,25.0,35.0,6160.0,2400.0,5.0,49.0,8624.0,3360.0,7.0,1517824.0,591360.0,1232.0,230400.0,480.0,1.0,114000
367,9.0,5.0,2234.0,1166.0,1.0,81.0,45.0,20106.0,10494.0,9.0,25.0,11170.0,5830.0,5.0,4990756.0,2604844.0,2234.0,1359556.0,1166.0,1.0,501837
1309,5.0,8.0,1416.0,720.0,1.0,25.0,40.0,7080.0,3600.0,5.0,64.0,11328.0,5760.0,8.0,2005056.0,1019520.0,1416.0,518400.0,720.0,1.0,153900
402,4.0,7.0,864.0,576.0,1.0,16.0,28.0,3456.0,2304.0,4.0,49.0,6048.0,4032.0,7.0,746496.0,497664.0,864.0,331776.0,576.0,1.0,130000
1592,6.0,5.0,1189.0,392.0,1.0,36.0,30.0,7134.0,2352.0,6.0,25.0,5945.0,1960.0,5.0,1413721.0,466088.0,1189.0,153664.0,392.0,1.0,160500
2409,9.0,5.0,1666.0,575.0,1.0,81.0,45.0,14994.0,5175.0,9.0,25.0,8330.0,2875.0,5.0,2775556.0,957950.0,1666.0,330625.0,575.0,1.0,310090
539,7.0,5.0,1200.0,555.0,1.0,49.0,35.0,8400.0,3885.0,7.0,25.0,6000.0,2775.0,5.0,1440000.0,666000.0,1200.0,308025.0,555.0,1.0,184900
1940,5.0,7.0,928.0,252.0,1.0,25.0,35.0,4640.0,1260.0,5.0,49.0,6496.0,1764.0,7.0,861184.0,233856.0,928.0,63504.0,252.0,1.0,132000
588,5.0,5.0,1336.0,502.0,1.0,25.0,25.0,6680.0,2510.0,5.0,25.0,6680.0,2510.0,5.0,1784896.0,670672.0,1336.0,252004.0,502.0,1.0,163000
96,7.0,5.0,1200.0,480.0,1.0,49.0,35.0,8400.0,3360.0,7.0,25.0,6000.0,2400.0,5.0,1440000.0,576000.0,1200.0,230400.0,480.0,1.0,155000
1187,6.0,6.0,1427.0,516.0,1.0,36.0,36.0,8562.0,3096.0,6.0,36.0,8562.0,3096.0,6.0,2036329.0,736332.0,1427.0,266256.0,516.0,1.0,183000
2154,7.0,5.0,1992.0,608.0,1.0,49.0,35.0,13944.0,4256.0,7.0,25.0,9960.0,3040.0,5.0,3968064.0,1211136.0,1992.0,369664.0,608.0,1.0,211000
550,7.0,5.0,1540.0,495.0,1.0,49.0,35.0,10780.0,3465.0,7.0,25.0,7700.0,2475.0,5.0,2371600.0,762300.0,1540.0,245025.0,495.0,1.0,184000
811,5.0,5.0,1535.0,400.0,2.0,25.0,25.0,7675.0,2000.0,10.0,25.0,7675.0,2000.0,10.0,2356225.0,614000.0,3070.0,160000.0,800.0,4.0,118858
124,5.0,7.0,1152.0,484.0,1.0,25.0,35.0,5760.0,2420.0,5.0,49.0,8064.0,3388.0,7.0,1327104.0,557568.0,1152.0,234256.0,484.0,1.0,180500
1836,8.0,5.0,1151.0,484.0,1.0,64.0,40.0,9208.0,3872.0,8.0,25.0,5755.0,2420.0,5.0,1324801.0,557084.0,1151.0,234256.0,484.0,1.0,166000
779,6.0,5.0,1138.0,480.0,1.0,36.0,30.0,6828.0,2880.0,6.0,25.0,5690.0,2400.0,5.0,1295044.0,546240.0,1138.0,230400.0,480.0,1.0,148000
1886,5.0,5.0,1074.0,396.0,1.0,25.0,25.0,5370.0,1980.0,5.0,25.0,5370.0,1980.0,5.0,1153476.0,425304.0,1074.0,156816.0,396.0,1.0,124000
1724,9.0,5.0,1561.0,556.0,1.0,81.0,45.0,14049.0,5004.0,9.0,25.0,7805.0,2780.0,5.0,2436721.0,867916.0,1561.0,309136.0,556.0,1.0,277500
2450,8.0,5.0,2726.0,725.0,1.0,64.0,40.0,21808.0,5800.0,8.0,25.0,13630.0,3625.0,5.0,7431076.0,1976350.0,2726.0,525625.0,725.0,1.0,350000
1013,9.0,5.0,1884.0,670.0,1.0,81.0,45.0,16956.0,6030.0,9.0,25.0,9420.0,3350.0,5.0,3549456.0,1262280.0,1884.0,448900.0,670.0,1.0,387000
2084,4.0,7.0,605.0,0.0,1.0,16.0,28.0,2420.0,0.0,4.0,49.0,4235.0,0.0,7.0,366025.0,0.0,605.0,0.0,0.0,1.0,86000
1184,8.0,9.0,1671.0,550.0,1.0,64.0,72.0,13368.0,4400.0,8.0,81.0,15039.0,4950.0,9.0,2792241.0,919050.0,1671.0,302500.0,550.0,1.0,290000
728,3.0,3.0,797.0,0.0,1.0,9.0,9.0,2391.0,0.0,3.0,9.0,2391.0,0.0,3.0,635209.0,0.0,797.0,0.0,0.0,1.0,44000
950,6.0,5.0,1961.0,560.0,1.0,36.0,30.0,11766.0,3360.0,6.0,25.0,9805.0,2800.0,5.0,3845521.0,1098160.0,1961.0,313600.0,560.0,1.0,215000
2524,5.0,6.0,1193.0,501.0,1.0,25.0,30.0,5965.0,2505.0,5.0,36.0,7158.0,3006.0,6.0,1423249.0,597693.0,1193.0,251001.0,501.0,1.0,146500
2513,7.0,5.0,1382.0,490.0,1.0,49.0,35.0,9674.0,3430.0,7.0,25.0,6910.0,2450.0,5.0,1909924.0,677180.0,1382.0,240100.0,490.0,1.0,165000
2028,6.0,7.0,2526.0,216.0,1.0,36.0,42.0,15156.0,1296.0,6.0,49.0,17682.0,1512.0,7.0,6380676.0,545616.0,2526.0,46656.0,216.0,1.0,136000
2309,6.0,6.0,1390.0,550.0,1.0,36.0,36.0,8340.0,3300.0,6.0,36.0,8340.0,3300.0,6.0,1932100.0,764500.0,1390.0,302500.0,550.0,1.0,252000
51,7.0,5.0,1626.0,474.0,1.0,49.0,35.0,11382.0,3318.0,7.0,25.0,8130.0,2370.0,5.0,2643876.0,770724.0,1626.0,224676.0,474.0,1.0,175500
699,5.0,6.0,1558.0,400.0,1.0,25.0,30.0,7790.0,2000.0,5.0,36.0,9348.0,2400.0,6.0,2427364.0,623200.0,1558.0,160000.0,400.0,1.0,150000
1881,5.0,5.0,1422.0,286.0,1.0,25.0,25.0,7110.0,1430.0,5.0,25.0,7110.0,1430.0,5.0,2022084.0,406692.0,1422.0,81796.0,286.0,1.0,139900
1345,5.0,7.0,1573.0,360.0,1.0,25.0,35.0,7865.0,1800.0,5.0,49.0,11011.0,2520.0,7.0,2474329.0,566280.0,1573.0,129600.0,360.0,1.0,162900
166,6.0,6.0,1116.0,440.0,1.0,36.0,36.0,6696.0,2640.0,6.0,36.0,6696.0,2640.0,6.0,1245456.0,491040.0,1116.0,193600.0,440.0,1.0,160000
781,2.0,2.0,660.0,0.0,1.0,4.0,4.0,1320.0,0.0,2.0,4.0,1320.0,0.0,2.0,435600.0,0.0,660.0,0.0,0.0,1.0,63900
379,6.0,5.0,1707.0,479.0,1.0,36.0,30.0,10242.0,2874.0,6.0,25.0,8535.0,2395.0,5.0,2913849.0,817653.0,1707.0,229441.0,479.0,1.0,184000
2818,5.0,4.0,1466.0,528.0,1.0,25.0,20.0,7330.0,2640.0,5.0,16.0,5864.0,2112.0,4.0,2149156.0,774048.0,1466.0,278784.0,528.0,1.0,149900
1168,9.0,5.0,1638.0,495.0,1.0,81.0,45.0,14742.0,4455.0,9.0,25.0,8190.0,2475.0,5.0,2683044.0,810810.0,1638.0,245025.0,495.0,1.0,300000
1396,5.0,3.0,1721.0,626.0,1.0,25.0,15.0,8605.0,3130.0,5.0,9.0,5163.0,1878.0,3.0,2961841.0,1077346.0,1721.0,391876.0,626.0,1.0,145000
838,6.0,5.0,1764.0,470.0,1.0,36.0,30.0,10584.0,2820.0,6.0,25.0,8820.0,2350.0,5.0,3111696.0,829080.0,1764.0,220900.0,470.0,1.0,231500
1492,5.0,6.0,996.0,0.0,1.0,25.0,30.0,4980.0,0.0,5.0,36.0,5976.0,0.0,6.0,992016.0,0.0,996.0,0.0,0.0,1.0,108000
637,5.0,5.0,1202.0,304.0,1.0,25.0,25.0,6010.0,1520.0,5.0,25.0,6010.0,1520.0,5.0,1444804.0,365408.0,1202.0,92416.0,304.0,1.0,120000
1826,5.0,5.0,988.0,572.0,1.0,25.0,25.0,4940.0,2860.0,5.0,25.0,4940.0,2860.0,5.0,976144.0,565136.0,988.0,327184.0,572.0,1.0,128500
173,5.0,6.0,1028.0,360.0,1.0,25.0,30.0,5140.0,1800.0,5.0,36.0,6168.0,2160.0,6.0,1056784.0,370080.0,1028.0,129600.0,360.0,1.0,115000
715,5.0,7.0,1284.0,240.0,1.0,25.0,35.0,6420.0,1200.0,5.0,49.0,8988.0,1680.0,7.0,1648656.0,308160.0,1284.0,57600.0,240.0,1.0,110000
1183,9.0,3.0,2944.0,864.0,1.0,81.0,27.0,26496.0,7776.0,9.0,9.0,8832.0,2592.0,3.0,8667136.0,2543616.0,2944.0,746496.0,864.0,1.0,150000
2433,8.0,5.0,1414.0,403.0,1.0,64.0,40.0,11312.0,3224.0,8.0,25.0,7070.0,2015.0,5.0,1999396.0,569842.0,1414.0,162409.0,403.0,1.0,178000
2866,7.0,7.0,1609.0,579.0,1.0,49.0,49.0,11263.0,4053.0,7.0,49.0,11263.0,4053.0,7.0,2588881.0,931611.0,1609.0,335241.0,579.0,1.0,199500
2311,6.0,5.0,1525.0,400.0,1.0,36.0,30.0,9150.0,2400.0,6.0,25.0,7625.0,2000.0,5.0,2325625.0,610000.0,1525.0,160000.0,400.0,1.0,183500
1551,5.0,5.0,1656.0,288.0,1.0,25.0,25.0,8280.0,1440.0,5.0,25.0,8280.0,1440.0,5.0,2742336.0,476928.0,1656.0,82944.0,288.0,1.0,126000
1049,7.0,6.0,1055.0,440.0,1.0,49.0,42.0,7385.0,3080.0,7.0,36.0,6330.0,2640.0,6.0,1113025.0,464200.0,1055.0,193600.0,440.0,1.0,148500
657,5.0,7.0,1352.0,720.0,1.0,25.0,35.0,6760.0,3600.0,5.0,49.0,9464.0,5040.0,7.0,1827904.0,973440.0,1352.0,518400.0,720.0,1.0,149000
414,6.0,5.0,1456.0,440.0,1.0,36.0,30.0,8736.0,2640.0,6.0,25.0,7280.0,2200.0,5.0,2119936.0,640640.0,1456.0,193600.0,440.0,1.0,137900
1181,8.0,5.0,1719.0,473.0,1.0,64.0,40.0,13752.0,3784.0,8.0,25.0,8595.0,2365.0,5.0,2954961.0,813087.0,1719.0,223729.0,473.0,1.0,324000
1514,5.0,6.0,864.0,0.0,1.0,25.0,30.0,4320.0,0.0,5.0,36.0,5184.0,0.0,6.0,746496.0,0.0,864.0,0.0,0.0,1.0,98000
1040,6.0,5.0,987.0,264.0,1.0,36.0,30.0,5922.0,1584.0,6.0,25.0,4935.0,1320.0,5.0,974169.0,260568.0,987.0,69696.0,264.0,1.0,103400
216,5.0,8.0,1020.0,0.0,1.0,25.0,40.0,5100.0,0.0,5.0,64.0,8160.0,0.0,8.0,1040400.0,0.0,1020.0,0.0,0.0,1.0,94000
1720,8.0,5.0,1554.0,627.0,1.0,64.0,40.0,12432.0,5016.0,8.0,25.0,7770.0,3135.0,5.0,2414916.0,974358.0,1554.0,393129.0,627.0,1.0,209500
2331,10.0,5.0,3390.0,758.0,1.0,100.0,50.0,33900.0,7580.0,10.0,25.0,16950.0,3790.0,5.0,11492100.0,2569620.0,3390.0,574564.0,758.0,1.0,545224
204,6.0,8.0,1560.0,0.0,1.0,36.0,48.0,9360.0,0.0,6.0,64.0,12480.0,0.0,8.0,2433600.0,0.0,1560.0,0.0,0.0,1.0,159900
19,4.0,5.0,864.0,400.0,1.0,16.0,20.0,3456.0,1600.0,4.0,25.0,4320.0,2000.0,5.0,746496.0,345600.0,864.0,160000.0,400.0,1.0,141000
2438,6.0,5.0,1889.0,431.0,1.0,36.0,30.0,11334.0,2586.0,6.0,25.0,9445.0,2155.0,5.0,3568321.0,814159.0,1889.0,185761.0,431.0,1.0,215000
89,5.0,8.0,1040.0,260.0,1.0,25.0,40.0,5200.0,1300.0,5.0,64.0,8320.0,2080.0,8.0,1081600.0,270400.0,1040.0,67600.0,260.0,1.0,127000
